timestamp,container,cpu_perc,mem_usage,net_io,block_io
1784300959.8893917,flink_w1-flink-identity-1,3.92%,328.6MiB / 31.28GiB,94.4kB / 307kB,50.1MB / 21.6MB
1784300959.8893917,stream-state-bench-flink-kafka,9.55%,331.6MiB / 31.28GiB,394kB / 432kB,0B / 3.07MB
1784300976.9188526,flink_w1-flink-identity-1,4.34%,330.9MiB / 31.28GiB,168kB / 597kB,50.1MB / 21.7MB
1784300976.9188526,stream-state-bench-flink-kafka,4.35%,339.5MiB / 31.28GiB,734kB / 812kB,0B / 5.05MB
1784300993.947639,flink_w1-flink-identity-1,6.74%,336.7MiB / 31.28GiB,241kB / 888kB,50.1MB / 21.8MB
1784300993.947639,stream-state-bench-flink-kafka,139.93%,339.4MiB / 31.28GiB,1.1MB / 1.21MB,0B / 6.94MB
1784301010.971951,flink_w1-flink-identity-1,3.86%,361.7MiB / 31.28GiB,314kB / 1.18MB,50.1MB / 21.9MB
1784301010.971951,stream-state-bench-flink-kafka,4.10%,342.4MiB / 31.28GiB,1.46MB / 1.62MB,0B / 8.25MB
1784301027.3805885,flink_w1-flink-identity-1,3.03%,356.5MiB / 31.28GiB,383kB / 1.45MB,50.1MB / 22MB
1784301027.3805885,stream-state-bench-flink-kafka,4.81%,341.5MiB / 31.28GiB,1.82MB / 2.02MB,0B / 8.51MB
1784301044.0681021,flink_w1-flink-identity-1,4.60%,356.7MiB / 31.28GiB,455kB / 1.75MB,50.1MB / 22.2MB
1784301044.0681021,stream-state-bench-flink-kafka,2.74%,343.5MiB / 31.28GiB,2.18MB / 2.41MB,0B / 10.5MB
1784301061.097586,flink_w1-flink-identity-1,2.89%,356.4MiB / 31.28GiB,526kB / 2.02MB,50.1MB / 22.3MB
1784301061.097586,stream-state-bench-flink-kafka,8.01%,345.8MiB / 31.28GiB,2.55MB / 2.82MB,0B / 14MB
1784301078.1216002,flink_w1-flink-identity-1,2.06%,361.4MiB / 31.28GiB,606kB / 2.34MB,50.1MB / 22.4MB
1784301078.1216002,stream-state-bench-flink-kafka,5.14%,353.5MiB / 31.28GiB,2.9MB / 3.2MB,0B / 15.8MB
1784301095.1459026,flink_w1-flink-identity-1,2.49%,366.7MiB / 31.28GiB,682kB / 2.63MB,50.1MB / 22.5MB
1784301095.1459026,stream-state-bench-flink-kafka,170.88%,458.8MiB / 31.28GiB,3.27MB / 3.62MB,0B / 16.9MB
1784301112.205525,flink_w1-flink-identity-1,18.78%,375.7MiB / 31.28GiB,758kB / 2.91MB,50.1MB / 22.6MB
1784301112.205525,stream-state-bench-flink-kafka,4.44%,373.2MiB / 31.28GiB,3.61MB / 4.02MB,0B / 17.4MB
1784301128.2799745,flink_w1-flink-identity-1,1.99%,368.3MiB / 31.28GiB,826kB / 3.19MB,50.1MB / 22.7MB
1784301128.2799745,stream-state-bench-flink-kafka,71.56%,378.9MiB / 31.28GiB,3.98MB / 4.43MB,0B / 17.7MB
1784301145.3090613,flink_w1-flink-identity-1,3.38%,371.1MiB / 31.28GiB,897kB / 3.46MB,50.1MB / 22.8MB
1784301145.3090613,stream-state-bench-flink-kafka,4.12%,380.1MiB / 31.28GiB,4.35MB / 4.84MB,0B / 18.9MB
1784301162.3341217,flink_w1-flink-identity-1,5.12%,371.2MiB / 31.28GiB,978kB / 3.77MB,50.1MB / 22.9MB
1784301162.3341217,stream-state-bench-flink-kafka,331.31%,495.2MiB / 31.28GiB,4.69MB / 5.23MB,0B / 19.7MB
1784301179.426319,flink_w1-flink-identity-1,1.78%,371.4MiB / 31.28GiB,1.05MB / 4.07MB,50.1MB / 23MB
1784301179.426319,stream-state-bench-flink-kafka,2.09%,380.8MiB / 31.28GiB,5.06MB / 5.64MB,0B / 20.6MB
1784301196.4582946,flink_w1-flink-identity-1,1.51%,374.1MiB / 31.28GiB,1.13MB / 4.36MB,50.1MB / 23.2MB
1784301196.4582946,stream-state-bench-flink-kafka,163.69%,428.5MiB / 31.28GiB,5.43MB / 6.05MB,0B / 21.6MB
1784301213.4842937,flink_w1-flink-identity-1,1.38%,374.8MiB / 31.28GiB,1.21MB / 4.66MB,50.1MB / 23.3MB
1784301213.4842937,stream-state-bench-flink-kafka,15.76%,393.8MiB / 31.28GiB,5.79MB / 6.46MB,0B / 22.4MB
1784301230.5126967,flink_w1-flink-identity-1,1.54%,374.9MiB / 31.28GiB,1.28MB / 4.95MB,50.1MB / 23.4MB
1784301230.5126967,stream-state-bench-flink-kafka,88.11%,389.8MiB / 31.28GiB,6.16MB / 6.86MB,0B / 23.5MB
1784301246.8691885,flink_w1-flink-identity-1,5.26%,377.6MiB / 31.28GiB,1.35MB / 5.23MB,50.1MB / 23.5MB
1784301246.8691885,stream-state-bench-flink-kafka,3.92%,391MiB / 31.28GiB,6.53MB / 7.29MB,0B / 24.3MB
1784301263.8974895,flink_w1-flink-identity-1,1.68%,377.7MiB / 31.28GiB,1.43MB / 5.53MB,50.1MB / 23.6MB
1784301263.8974895,stream-state-bench-flink-kafka,178.57%,490MiB / 31.28GiB,6.88MB / 7.68MB,0B / 25.1MB
1784301280.9221191,flink_w1-flink-identity-1,4.14%,377.8MiB / 31.28GiB,1.51MB / 5.82MB,50.1MB / 23.7MB
1784301280.9221191,stream-state-bench-flink-kafka,2.25%,413.5MiB / 31.28GiB,7.25MB / 8.09MB,0B / 26MB
1784301297.9477286,flink_w1-flink-identity-1,2.36%,377.8MiB / 31.28GiB,1.58MB / 6.12MB,50.1MB / 23.8MB
1784301297.9477286,stream-state-bench-flink-kafka,134.98%,409.9MiB / 31.28GiB,7.62MB / 8.5MB,0B / 27MB
1784301314.326423,flink_w1-flink-identity-1,2.11%,378MiB / 31.28GiB,1.65MB / 6.4MB,50.1MB / 23.9MB
1784301314.326423,stream-state-bench-flink-kafka,2.82%,419.1MiB / 31.28GiB,7.99MB / 8.92MB,0B / 27.7MB
1784301331.3502982,flink_w1-flink-identity-1,3.33%,382.2MiB / 31.28GiB,1.72MB / 6.68MB,50.1MB / 24MB
1784301331.3502982,stream-state-bench-flink-kafka,10.26%,432.9MiB / 31.28GiB,8.36MB / 9.33MB,0B / 28.6MB
1784301348.375093,flink_w1-flink-identity-1,3.49%,382.6MiB / 31.28GiB,1.8MB / 6.99MB,50.1MB / 24.1MB
1784301348.375093,stream-state-bench-flink-kafka,3.31%,436.8MiB / 31.28GiB,8.71MB / 9.71MB,0B / 29.4MB
1784301365.4014595,flink_w1-flink-identity-1,2.21%,382.7MiB / 31.28GiB,1.88MB / 7.27MB,50.1MB / 24.2MB
1784301365.4014595,stream-state-bench-flink-kafka,2.34%,446.1MiB / 31.28GiB,9.1MB / 10.2MB,0B / 30.2MB
1784301382.4307349,flink_w1-flink-identity-1,1.42%,382.8MiB / 31.28GiB,1.96MB / 7.58MB,50.1MB / 24.3MB
1784301382.4307349,stream-state-bench-flink-kafka,2.05%,453.4MiB / 31.28GiB,9.45MB / 10.5MB,0B / 30.9MB
1784301399.4737208,flink_w1-flink-identity-1,1.46%,382.8MiB / 31.28GiB,2.03MB / 7.88MB,50.1MB / 24.4MB
1784301399.4737208,stream-state-bench-flink-kafka,35.93%,462.8MiB / 31.28GiB,9.82MB / 10.9MB,0B / 31.9MB
1784301416.4989522,flink_w1-flink-identity-1,1.48%,382.9MiB / 31.28GiB,2.11MB / 8.18MB,50.1MB / 24.6MB
