timestamp,container,cpu_perc,mem_usage,net_io,block_io
1784300959.8925724,kafka_streams_w1-kafka-streams-identity-1,4.54%,154.9MiB / 31.28GiB,166kB / 211kB,4.1kB / 15.1MB
1784300959.8925724,stream-state-bench-kafka,13.76%,338.3MiB / 31.28GiB,300kB / 259kB,0B / 3.03MB
1784300971.921365,kafka_streams_w1-kafka-streams-identity-1,4.03%,160.6MiB / 31.28GiB,257kB / 335kB,4.1kB / 15.1MB
1784300971.921365,stream-state-bench-kafka,5.59%,340.3MiB / 31.28GiB,461kB / 390kB,32.8kB / 3.48MB
1784300983.0787177,kafka_streams_w1-kafka-streams-identity-1,1.98%,167.7MiB / 31.28GiB,342kB / 451kB,4.1kB / 15.1MB
1784300983.0787177,stream-state-bench-kafka,158.46%,345.1MiB / 31.28GiB,638kB / 535kB,32.8kB / 3.94MB
1784300994.9502997,kafka_streams_w1-kafka-streams-identity-1,1.75%,169.2MiB / 31.28GiB,437kB / 576kB,4.1kB / 15.1MB
1784300994.9502997,stream-state-bench-kafka,10.91%,344.8MiB / 31.28GiB,815kB / 683kB,32.8kB / 4.52MB
1784301006.9729474,kafka_streams_w1-kafka-streams-identity-1,3.81%,169.6MiB / 31.28GiB,526kB / 701kB,8.19kB / 15.2MB
1784301006.9729474,stream-state-bench-kafka,4.28%,343.9MiB / 31.28GiB,976kB / 812kB,32.8kB / 4.97MB
1784301019.0015845,kafka_streams_w1-kafka-streams-identity-1,1.32%,170.5MiB / 31.28GiB,618kB / 828kB,8.19kB / 15.2MB
1784301019.0015845,stream-state-bench-kafka,4.05%,345.2MiB / 31.28GiB,1.15MB / 957kB,32.8kB / 5.44MB
1784301031.031543,kafka_streams_w1-kafka-streams-identity-1,2.03%,167.7MiB / 31.28GiB,709kB / 948kB,8.19kB / 15.3MB
1784301031.031543,stream-state-bench-kafka,288.92%,450.4MiB / 31.28GiB,1.32MB / 1.1MB,32.8kB / 6.05MB
1784301043.0644484,kafka_streams_w1-kafka-streams-identity-1,0.95%,169.2MiB / 31.28GiB,802kB / 1.07MB,8.19kB / 15.3MB
1784301043.0644484,stream-state-bench-kafka,4.86%,362.9MiB / 31.28GiB,1.5MB / 1.25MB,32.8kB / 6.47MB
1784301055.0912092,kafka_streams_w1-kafka-streams-identity-1,31.36%,176.5MiB / 31.28GiB,888kB / 1.19MB,8.19kB / 15.3MB
1784301055.0912092,stream-state-bench-kafka,3.41%,369.8MiB / 31.28GiB,1.7MB / 1.4MB,32.8kB / 6.95MB
1784301067.1145728,kafka_streams_w1-kafka-streams-identity-1,41.45%,244.4MiB / 31.28GiB,1.07MB / 7.57MB,12.3kB / 15.5MB
1784301067.1145728,stream-state-bench-kafka,10.69%,400.5MiB / 31.28GiB,6.92MB / 5.41MB,32.8kB / 10.3MB
1784301079.1274095,kafka_streams_w1-kafka-streams-identity-1,22.80%,234.4MiB / 31.28GiB,1.32MB / 22.1MB,12.3kB / 15.5MB
1784301079.1274095,stream-state-bench-kafka,12.26%,416MiB / 31.28GiB,22.7MB / 20.7MB,32.8kB / 23.4MB
1784301091.2177114,kafka_streams_w1-kafka-streams-identity-1,10.86%,235.2MiB / 31.28GiB,1.64MB / 40.7MB,12.3kB / 15.5MB
1784301091.2177114,stream-state-bench-kafka,123.64%,493.3MiB / 31.28GiB,39.7MB / 37.4MB,32.8kB / 34.1MB
1784301103.2431011,kafka_streams_w1-kafka-streams-identity-1,10.27%,240MiB / 31.28GiB,2.02MB / 63.8MB,12.3kB / 15.5MB
1784301103.2431011,stream-state-bench-kafka,21.62%,533.1MiB / 31.28GiB,62.6MB / 59.9MB,32.8kB / 39MB
1784301115.2482674,kafka_streams_w1-kafka-streams-identity-1,16.72%,247.1MiB / 31.28GiB,2.43MB / 88MB,12.3kB / 15.6MB
1784301115.2482674,stream-state-bench-kafka,16.45%,622.3MiB / 31.28GiB,88.7MB / 85.7MB,32.8kB / 69.7MB
1784301127.2737045,kafka_streams_w1-kafka-streams-identity-1,7.09%,404.1MiB / 31.28GiB,2.85MB / 112MB,12.3kB / 15.6MB
1784301127.2737045,stream-state-bench-kafka,7.28%,697.9MiB / 31.28GiB,111MB / 107MB,32.8kB / 74.6MB
1784301139.3031902,kafka_streams_w1-kafka-streams-identity-1,9.97%,404.8MiB / 31.28GiB,3.28MB / 137MB,12.3kB / 15.7MB
1784301139.3031902,stream-state-bench-kafka,277.59%,887.6MiB / 31.28GiB,136MB / 132MB,32.8kB / 122MB
